reg,seg_id,sen_id,word_id,POS,token,words_label,words_gloss,type,subtype,sentence
news,news_01_v.4,0007,32,v,起,mrw,开始;开端,indir,conv,教学副校长陈泰坤见周彤执花向校领导奔来，赶紧说：＂快把鲜花给妈妈呀，从你呀呀学语起，妈妈这乘车走路的空都不放过，见缝插针地编儿歌教你、鲜花应属于你妈妈。＂
news,news_01_v.4,0007,39,n,空,mrw,"闲暇,闲功夫,没被占用的时间",indir,conv,教学副校长陈泰坤见周彤执花向校领导奔来，赶紧说：＂快把鲜花给妈妈呀，从你呀呀学语起，妈妈这乘车走路的空都不放过，见缝插针地编儿歌教你、鲜花应属于你妈妈。＂
news,news_01_v.4,0007,42,v,放过,mrw,犹放弃,indir,cont,教学副校长陈泰坤见周彤执花向校领导奔来，赶紧说：＂快把鲜花给妈妈呀，从你呀呀学语起，妈妈这乘车走路的空都不放过，见缝插针地编儿歌教你、鲜花应属于你妈妈。＂
news,news_01_v.4,0007,46,v,编,mrw,编辑;创作,indir,conv,教学副校长陈泰坤见周彤执花向校领导奔来，赶紧说：＂快把鲜花给妈妈呀，从你呀呀学语起，妈妈这乘车走路的空都不放过，见缝插针地编儿歌教你、鲜花应属于你妈妈。＂
news,news_01_v.4,0009,14,v,培养,mrw,按照一定的目的，长期教育训练,indir,conv,还到处跑书店为你买书，鲜花应属于苦心培养你的老师。＂
news,news_01_v.4,0010,9,a,大,mrw,超过一般,indir,conv,钱老师连连摆手：＂论苦心大是周彤，为迎接竞赛做题三千多道，草稿纸堆起来只怕比他人还高。＂
news,news_01_v.4,0010,15,v,迎接,mrw,比喻作好准备，等候某一情况的发生或时节的到来,indir,conv,钱老师连连摆手：＂论苦心大是周彤，为迎接竞赛做题三千多道，草稿纸堆起来只怕比他人还高。＂
news,news_01_v.4,0010,17,v,做,mrw,作。从事某种工作或活动,indir,conv,钱老师连连摆手：＂论苦心大是周彤，为迎接竞赛做题三千多道，草稿纸堆起来只怕比他人还高。＂
news,news_01_v.4,0012,32,n,母亲,mrw,比喻养育人的某一群体或事物,indir,cont,此语使周彤默然想起中午省科委领导说的话：＂在这种时刻，你们要想到自己的母亲，更要想到祖国母亲。＂
news,news_01_v.4,0014,11,n,王子,mrw,天子或王的儿子,indir,cont,没被国际竞赛的数学难题难倒的数学王子竟被眼前这道题难住了。
news,news_01_v.4,0014,17,n,题,mrw,题目;标题,indir,cont,没被国际竞赛的数学难题难倒的数学王子竟被眼前这道题难住了。
news,news_01_v.4,0014,19,v,住,mrw,表示停止或静上,indir,conv,没被国际竞赛的数学难题难倒的数学王子竟被眼前这道题难住了。
news,news_01_v.4,0016,14,vg,凝,mrw,停止;静止,indir,cont,喀嚓一声，银光一闪，这一历史瞬间永远凝住了。
news,news_01_v.4,0016,15,v,住,mrw,表示停止或静上,indir,conv,喀嚓一声，银光一闪，这一历史瞬间永远凝住了。
news,news_02_v.4,0045,18,v,传来,mrw,,indir,conv,前天下午５时１５分，朗阳区六里屯住宅区里，一阵孩子的哭喊声从高空传来。
news,news_02_v.4,0049,2,a,小,mrw,通“少”。年幼,indir,conv,这个小男孩名叫刘帅，住在１５层６单元，当时他妈妈出门倒垃圾，一阵风把单元门撞上，屋里只剩下小刘帅一人，焦急万分的妈妈一边敲门一边喊：＂你在屋里等着，我去姥姥家取钥匙，千万别动弹！＂
news,news_02_v.4,0049,28,v,上,mrw,用在动词后。表示动作的趋向或结果等,indir,conv,这个小男孩名叫刘帅，住在１５层６单元，当时他妈妈出门倒垃圾，一阵风把单元门撞上，屋里只剩下小刘帅一人，焦急万分的妈妈一边敲门一边喊：＂你在屋里等着，我去姥姥家取钥匙，千万别动弹！＂
news,news_02_v.4,0049,33,a,小,mrw,通“少”。年幼,indir,conv,这个小男孩名叫刘帅，住在１５层６单元，当时他妈妈出门倒垃圾，一阵风把单元门撞上，屋里只剩下小刘帅一人，焦急万分的妈妈一边敲门一边喊：＂你在屋里等着，我去姥姥家取钥匙，千万别动弹！＂
news,news_02_v.4,0050,29,n,悲剧,mrw,比喻悲惨不幸的遭遇,indir,conv,正在他妈妈飞跑着去同住一幢楼的姥姥家取钥匙时，在楼外的人们看见一场撕人心肺的悲剧就要发生了。
news,news_02_v.4,0052,14,v,带,mrw,引导某人或某物,indir,conv,此时，北京荧光灯厂３１岁的工人任志庆和妻子带着两岁的儿子照完生日照片正路过此处，一看到摇摇欲坠的孩子，任志庆不禁大喊一声：＂不好！＂
news,news_02_v.4,0052,21,v,完,mrw,"完成,结束",indir,conv,此时，北京荧光灯厂３１岁的工人任志庆和妻子带着两岁的儿子照完生日照片正路过此处，一看到摇摇欲坠的孩子，任志庆不禁大喊一声：＂不好！＂
news,news_02_v.4,0053,18,v,疯,mrw,"神经错乱,精神失常",dir,,随即把自行车和坐在后衣架上的孩子往妻子身上一推，疯了般地飞向４号楼。
news,news_02_v.4,0053,22,v,飞,mrw,疾速,indir,conv,随即把自行车和坐在后衣架上的孩子往妻子身上一推，疯了般地飞向４号楼。
news,news_02_v.4,0057,4,n,箭,mrw,搭在弓弩上发射的竹制武器,dir,,任志庆像箭一样冲向孩子的落点。
news,news_02_v.4,0057,11,n,点,mrw,,indir,conv,任志庆像箭一样冲向孩子的落点。
news,news_02_v.4,0059,2,v,带,mrw,具有某种标志或特征,indir,cont,孩子带着几百斤的冲击力，重重地砸在了他的前额和身上，顺着他的面颊滑下落在了他的双臂上，随之和他同时摔倒在地。
news,news_02_v.4,0060,12,v,过去,mrw,用在动词后，表示动作的完成,indir,conv,孩子还在哇哇大哭，任志庆却昏死过去，鲜血从他身上流出。
news,news_02_v.4,0062,3,v,得到,mrw,获得,indir,conv,等孩子得到救治，他又赶回刘帅家报了信儿，便悄悄离去了，最终也没留下姓名。
news,news_02_v.4,0062,14,n,信儿,mrw,消息，音信,indir,conv,等孩子得到救治，他又赶回刘帅家报了信儿，便悄悄离去了，最终也没留下姓名。
news,news_02_v.4,0064,3,a,小,mrw,通“少”。年幼,indir,conv,现在、小刘帅转到北京儿童医院治疗，已经没有生命危险。
news,news_02_v.4,0064,6,v,转,mrw,"转移,辗转",indir,conv,现在、小刘帅转到北京儿童医院治疗，已经没有生命危险。
news,news_02_v.4,0067,3,v,顾,mrw,顾虑;考虚,indir,conv,什么也顾不上，就想着把孩子接住。＂
news,news_02_v.4,0067,5,v,上,mrw,用在动词后。表示动作的趋向或结果等,indir,conv,什么也顾不上，就想着把孩子接住。＂
news,news_02_v.4,0068,25,a,活,mrw,复生,dir,,刘帅的姥爷刘志强指着任志庆说：＂他是我外孙子的恩人，是咱身边的活雷锋啊！＂
news,news_03_v.4,0071,16,v,起来,mrw,用在动词或形容词后，表示动作或情况开始并且递进,indir,conv,６月６日，天还未亮，宁夏回族自治区党委大院便热闹起来，一辆别致的＂东风＂加长大卡车满载道具开了进来。
news,news_03_v.4,0074,16,v,支持,mrw,友援；赞同鼓励,indir,conv,这台＂东风＂加长大卡车，是自治区党委和人民政府为支持宁夏话剧团坚持送戏下乡的正确方向，拉专款购置的。
news,news_03_v.4,0074,20,v,送,mrw,将东西运去或传交,indir,cont,这台＂东风＂加长大卡车，是自治区党委和人民政府为支持宁夏话剧团坚持送戏下乡的正确方向，拉专款购置的。
news,news_03_v.4,0074,25,n,方向,mrw,前进的目标；正对着的方位,indir,conv,这台＂东风＂加长大卡车，是自治区党委和人民政府为支持宁夏话剧团坚持送戏下乡的正确方向，拉专款购置的。
news,news_03_v.4,0074,27,v,拉,mrw,牵;引;扯;拽,indir,conv,这台＂东风＂加长大卡车，是自治区党委和人民政府为支持宁夏话剧团坚持送戏下乡的正确方向，拉专款购置的。
news,news_03_v.4,0075,13,v,做出,mrw,,indir,conv,多年来，宁夏话剧团为农民演戏，为振兴话剧做出了突出贡献，受到中央有关部委和宁夏党政部门的充分肯定。
news,news_03_v.4,0075,27,a,充分,mrw,,indir,conv,多年来，宁夏话剧团为农民演戏，为振兴话剧做出了突出贡献，受到中央有关部委和宁夏党政部门的充分肯定。
news,news_03_v.4,0078,25,v,达,mrw,"到达,通到",indir,conv,现在，卡车三面车帮放平，台宽９米多、台深５米多、舞台面积达５０平方米，完全可以演出大型戏剧。
news,news_03_v.4,0080,8,v,装,mrw,装配;安装,indir,conv,很快，搭台、置景、装道具一切完毕。
news,news_03_v.4,0081,2,v,用,mrw,,indir,conv,总共用了１小时２０分钟！
news,news_03_v.4,0082,13,a,浓郁,mrw,浓重；浓厚,indir,conv,９点钟，宁夏方言话剧《天下第一难》在具有浓郁地方特色的＂宁夏花儿＂歌声中开始。
news,news_03_v.4,0083,2,v,反映,mrw,比喻把客观事物的实质表现或显示出来,indir,conv,这部反映农村计划生育工作的戏，宣传了基本国策，主题鲜明、切中时弊，语言诙谐、俏皮，不时激起台下机关干部们开心的笑声。
news,news_03_v.4,0083,15,a,鲜明,mrw,分明而确定,indir,conv,这部反映农村计划生育工作的戏，宣传了基本国策，主题鲜明、切中时弊，语言诙谐、俏皮，不时激起台下机关干部们开心的笑声。
news,news_03_v.4,0083,26,v,激起,mrw,"刺激,激发",indir,conv,这部反映农村计划生育工作的戏，宣传了基本国策，主题鲜明、切中时弊，语言诙谐、俏皮，不时激起台下机关干部们开心的笑声。
news,news_03_v.4,0084,31,v,收到,mrw,接收已经到达的东西。（被动）,indir,pers,整个舞台，由过去的封闭式变为开放式，演员从观众中上场，下场又坐到观众中，便于演员和观众的交流，收到了更好的演出效果。
news,news_03_v.4,0084,37,n,效果,mrw,,indir,conv,整个舞台，由过去的封闭式变为开放式，演员从观众中上场，下场又坐到观众中，便于演员和观众的交流，收到了更好的演出效果。
news,news_04_v.4,0022,11,n,苦,mrw,,indir,conv,几天来，饱受７个月战乱之苦的科威特人，纷纷涌向作为科威特象征的大塔附近的海湾大道，男女老少打着国旗，高呼口号，载歌载舞，欢庆收复国土，同时诉说战争带来的破坏与不幸。
news,news_04_v.4,0022,17,v,涌,mrw,"水奔涌,翻腾",indir,conv,几天来，饱受７个月战乱之苦的科威特人，纷纷涌向作为科威特象征的大塔附近的海湾大道，男女老少打着国旗，高呼口号，载歌载舞，欢庆收复国土，同时诉说战争带来的破坏与不幸。
news,news_04_v.4,0022,47,v,带来,mrw,使了解或熟悉,indir,pers,几天来，饱受７个月战乱之苦的科威特人，纷纷涌向作为科威特象征的大塔附近的海湾大道，男女老少打着国旗，高呼口号，载歌载舞，欢庆收复国土，同时诉说战争带来的破坏与不幸。
news,news_04_v.4,0024,15,v,介绍,mrw,使了解或熟悉,indir,conv,科威特内阁事务大臣阿瓦迪今天在首都首次举行记者招待会，介绍这个国家遭破坏的情况。
news,news_04_v.4,0026,43,n,残骸,mrw,残留的尸骨,indir,conv,记者在科威特城的几条主要街道看到，大部分建筑物都遭到不同程度的破坏，几乎所有的大楼、银行、商店、学校都被洗劫或遭火烧，一辆辆被打坏的汽车残骸散落在路旁。
news,news_04_v.4,0029,6,v,熏,mrw,火烟向上冒,indir,widlii,几幢楼被炮火熏黑，面目全非。
news,news_04_v.4,0031,15,v,等待,mrw,不采取行动，直到期望或意料中的人、事物或情况出现,indir,pers,眼下，科全国只有６个加油站定时、定量供应汽油，等待加油的车辆排成一、两公里的长队。
news,news_04_v.4,0032,28,v,上,mrw,用在动词后。表示动作的趋向或结果等,indir,conv,一位５０多岁的老人告诉我们，他是早上７点钟来排队的，到下午４点还没加上油。
news,news_04_v.4,0033,17,v,上,mrw,用在动词后。表示动作的趋向或结果等,indir,conv,他气愤地说：＂我们有的是石油，现在却有油加不上，这在科威特自发现石油以来还是第一次。＂
news,news_04_v.4,0035,14,v,抓紧,mrw,紧紧地把握住，不放松,indir,conv,昨天从沙特返回的９名内阁成员已着手工作，抓紧日常生活的恢复工作。
news,news_04_v.4,0037,7,v,到,mrw,"用作动词的补语,表示动作达到目的或有了结果",indir,conv,海湾大道仍然是望不到首尾的车龙和人流，人们的口号声、欢呼声和朝天鸣放的喜庆枪声不绝于耳。
news,news_04_v.4,0037,11,n,龙,mrw,古代传说中一种有鳞有须能兴云作雨的神异动物,indir,conv,海湾大道仍然是望不到首尾的车龙和人流，人们的口号声、欢呼声和朝天鸣放的喜庆枪声不绝于耳。
news,news_17_v.4,0024,26,ng,杯,mrw,,indir,conv,近两万名正在欢度新春佳节的香港球迷，今天下午在这里的政府大球场兴致勃勃地观看了万宝路贺岁杯足球赛第一天的两场比赛。
news,news_17_v.4,0025,18,v,战胜,mrw,在战争中取胜；经战斗而获胜,indir,conv,比赛结果，中国国家队和捷克斯洛伐克布拉格斯巴达队同以１：０的比分，分别战胜了香港钻禧队和苏联莫斯科斯巴达队。
news,news_17_v.4,0026,12,v,出,mrw,"用在动词后表示向外,显露或完成",indir,conv,香港钻禧队是由香港五支甲级队中挑选出的优秀队员组成，其中有多名外籍球员。
news,news_17_v.4,0027,1,v,面对,mrw,犹面向,indir,conv,面对这样一支被认为是香港历来实力最强的队伍，中国队利用对方组队不久，配合尚欠默契的弱点，一方面紧盯对方锋线上的几名外籍球员，使他们＂孤掌难鸣＂，另一方面不时从边线发动攻势，终于在上半场３０分钟时，前锋马林在对方禁区内接到传中球劲射入网，奠定了胜局。
news,news_17_v.4,0027,12,a,强,mrw,优越;好,indir,conv,面对这样一支被认为是香港历来实力最强的队伍，中国队利用对方组队不久，配合尚欠默契的弱点，一方面紧盯对方锋线上的几名外籍球员，使他们＂孤掌难鸣＂，另一方面不时从边线发动攻势，终于在上半场３０分钟时，前锋马林在对方禁区内接到传中球劲射入网，奠定了胜局。
news,news_17_v.4,0027,17,v,利用,mrw,,indir,conv,面对这样一支被认为是香港历来实力最强的队伍，中国队利用对方组队不久，配合尚欠默契的弱点，一方面紧盯对方锋线上的几名外籍球员，使他们＂孤掌难鸣＂，另一方面不时从边线发动攻势，终于在上半场３０分钟时，前锋马林在对方禁区内接到传中球劲射入网，奠定了胜局。
news,news_17_v.4,0027,24,v,欠,mrw,缺少,indir,conv,面对这样一支被认为是香港历来实力最强的队伍，中国队利用对方组队不久，配合尚欠默契的弱点，一方面紧盯对方锋线上的几名外籍球员，使他们＂孤掌难鸣＂，另一方面不时从边线发动攻势，终于在上半场３０分钟时，前锋马林在对方禁区内接到传中球劲射入网，奠定了胜局。
news,news_17_v.4,0027,51,v,发动,mrw,奋起行动,indir,conv,面对这样一支被认为是香港历来实力最强的队伍，中国队利用对方组队不久，配合尚欠默契的弱点，一方面紧盯对方锋线上的几名外籍球员，使他们＂孤掌难鸣＂，另一方面不时从边线发动攻势，终于在上半场３０分钟时，前锋马林在对方禁区内接到传中球劲射入网，奠定了胜局。
news,news_17_v.4,0027,52,n,攻势,mrw,向敌方进攻的行动或形势,indir,conv,面对这样一支被认为是香港历来实力最强的队伍，中国队利用对方组队不久，配合尚欠默契的弱点，一方面紧盯对方锋线上的几名外籍球员，使他们＂孤掌难鸣＂，另一方面不时从边线发动攻势，终于在上半场３０分钟时，前锋马林在对方禁区内接到传中球劲射入网，奠定了胜局。
news,news_17_v.4,0029,12,vn,转换,mrw,,indir,conv,他们全攻全守的踢法，使攻守转换速度大大加快，也使场上精采场面纷呈。
news,news_17_v.4,0030,24,v,上,mrw,用在动词后。表示动作的趋向或结果等,indir,cont,特别是捷队上半场在距苏联队球门３０米外罚任意球破网以后，苏联队十多次全军压上发起猛攻，使捷队门前险象环生，观众惊讶声、欢呼声、掌声不断。
news,news_17_v.4,0031,15,v,对阵,mrw,谓两军对峙；交峰,indir,conv,根据比赛规程，１月３０日年初四，中、捷两队将对阵决出这次杯赛的冠、亚军；
news,news_17_v.4,0031,18,ng,杯,mrw,,indir,conv,根据比赛规程，１月３０日年初四，中、捷两队将对阵决出这次杯赛的冠、亚军；
news,news_18_v.4,0034,3,v,获,mrw,得到;取得,indir,conv,我选手获尤尼克斯羽球赛女单前三名
news,news_18_v.4,0035,5,ng,杯,mrw,表示以杯量的量,indir,conv,第六届日本尤尼克斯杯羽毛球公开赛女单和男双的比赛今天结束，我国三名年轻运动员黄华、周雷和唐九红分获女子单打冠军、亚军和第三名，羽坛老将李永波和田秉毅获男子双打亚军。
news,news_18_v.4,0035,29,v,分获,mrw,,indir,conv,第六届日本尤尼克斯杯羽毛球公开赛女单和男双的比赛今天结束，我国三名年轻运动员黄华、周雷和唐九红分获女子单打冠军、亚军和第三名，羽坛老将李永波和田秉毅获男子双打亚军。
news,news_18_v.4,0035,46,v,获,mrw,得到;取得,indir,conv,第六届日本尤尼克斯杯羽毛球公开赛女单和男双的比赛今天结束，我国三名年轻运动员黄华、周雷和唐九红分获女子单打冠军、亚军和第三名，羽坛老将李永波和田秉毅获男子双打亚军。
news,news_18_v.4,0040,6,v,分获,mrw,,indir,conv,黄华和周雷分获女单冠亚军，唐九红和王莲香并列第三名。
news,news_18_v.4,0045,6,v,获得,mrw,得到；取得,indir,conv,金文秀和朴柱奉获得冠军，李永波和田秉毅获亚军。
news,news_18_v.4,0045,14,v,获,mrw,得到;取得,indir,conv,金文秀和朴柱奉获得冠军，李永波和田秉毅获亚军。
news,news_18_v.4,0046,27,v,击败,mrw,,indir,conv,金文秀和朴柱奉是在半决赛中以２：１（１６：１７，１５：６，１５：１１）击败印度尼西亚的洪忠中和罗天宁之后进入决赛的。
news,news_18_v.4,0046,36,v,进入,mrw,谓到了某个范围或某个时期里,indir,conv,金文秀和朴柱奉是在半决赛中以２：１（１６：１７，１５：６，１５：１１）击败印度尼西亚的洪忠中和罗天宁之后进入决赛的。
news,news_19_v.4,0007,5,v,完,mrw,"完成,结束",indir,conv,一位大娘交完钱转过身，晃了晃手中的几个塑料食品袋，绿色的黄瓜条、深紫色的芥丝、黄白色的萝卜条......有四五种。＂
news,news_19_v.4,0007,26,a,深,mrw,[指颜色]深暗,indir,conv,一位大娘交完钱转过身，晃了晃手中的几个塑料食品袋，绿色的黄瓜条、深紫色的芥丝、黄白色的萝卜条......有四五种。＂
news,news_19_v.4,0008,2,a,大,mrw,规模大,indir,conv,一大家子，过年吃不动荤腥，就这个下得快。＂
news,news_19_v.4,0008,8,v,动,mrw,〈方〉∶吃,indir,conv,一大家子，过年吃不动荤腥，就这个下得快。＂
news,news_19_v.4,0008,13,v,下,mrw,以菜肴佐食,indir,conv,一大家子，过年吃不动荤腥，就这个下得快。＂
news,news_19_v.4,0011,5,v,插,mrw,"参与,加入",indir,conv,后面一位小伙子插上来：＂我们单位年轻人聚两次了，每次都得来几种小菜。＂
news,news_19_v.4,0011,10,n,单位,mrw,机关、团体或其所属的某一部门,indir,conv,后面一位小伙子插上来：＂我们单位年轻人聚两次了，每次都得来几种小菜。＂
news,news_19_v.4,0011,20,v,来,mrw,表示动作的趋向,indir,widlii,后面一位小伙子插上来：＂我们单位年轻人聚两次了，每次都得来几种小菜。＂
news,news_19_v.4,0015,4,a,低,mrw,比例、数量或价值在正常标准以下的,indir,conv,现在这些是低盐的，或甜麻辣咸酸，或兼而有之，风味不同。＂
news,news_19_v.4,0016,33,v,出现,mrw,显露出来；呈现,indir,conv,尽管元宵节前的天津副食品市场依然保持着腊月以来的兴旺，各副食商场鸡虾鱼肉、蔬菜水果货源足，购买方便，但仍出现了不大不小的＂咸菜热＂。
